Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
1 year ago,talk,NDC Porto 2022,Change wings on the fly,Tatiana Kolesnikova,46:17,46,https://youtube.com/watch?v=9fb9MSDsY3A
1 year ago,talk,NDC Porto 2022,The Art of Documentation and Readme.md,Ben Hall,47:14,47,https://youtube.com/watch?v=SEGzUdK-Oas
1 year ago,talk,NDC Porto 2022,Embrace chaos to achieve stability,René van Osnabrugge,1:01:28,61,https://youtube.com/watch?v=qAdJ3SNEBBo
1 year ago,talk,NDC Porto 2022,Application security from start to finish,Michael Kaufmann,45:56,46,https://youtube.com/watch?v=Q6cWn4HO3wQ
1 year ago,talk,Unknown,Migrating your messaging workloads to the Cloud with Azure Service Bus,Eldert Grootenboer,49:51,50,https://youtube.com/watch?v=B_i6-K03An0
1 year ago,talk,NDC Porto 2022,State management in Blazor,Don Wibier,1:02:43,63,https://youtube.com/watch?v=L9p-9dGp-98
1 year ago,talk,NDC Porto 2022,Learning about machine learning from kids,Dale Lane,36:04,36,https://youtube.com/watch?v=xUhwnwRrYPk
1 year ago,talk,NDC Porto 2022,Minimal APIs in ASP.NET 6.0,Rob Richardson,53:55,54,https://youtube.com/watch?v=b5DV_coRBUU
1 year ago,talk,NDC Porto 2022,Space Flight in the 2020s,Richard Campbell,56:36,57,https://youtube.com/watch?v=r226vtO--B4
1 year ago,talk,Unknown,"Smart home from scratch - a little C#, a little C++ and cheap Chinese electronics",Nir Dobovizki,50:59,51,https://youtube.com/watch?v=AQb0LsbmJME
1 year ago,talk,NDC Porto 2022,The Care and Feeding of Software Engineers,Heather Downing,1:01:10,61,https://youtube.com/watch?v=1xuv7uOnK00
1 year ago,talk,NDC Porto,The Grand Unified Theory of Clean Architecture and Test Pyramid,Guilherme Ferreira,50:16,50,https://youtube.com/watch?v=gHSpj2zM9Nw
1 year ago,talk,NDC Porto 2022,Leadership Lessons from the Agile Manifesto,Anjuan Simmons,1:01:16,61,https://youtube.com/watch?v=xgSmPu_rB3w
1 year ago,talk,NDC Porto 2022,Exploring the Wonderful World of Python on Devices,Brandon Satrom,39:12,39,https://youtube.com/watch?v=EMgofGN4xEQ
