Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
3 years ago,talk,NDC Copenhagen 2020,Deep Dive on Server-Side Blazor .NET,Carl Franklin,1:00:33,61,https://youtube.com/watch?v=WuPC5w9EgVw
3 years ago,talk,NDC Copenhagen 2020,The Abridged History of Application Security,Jim Manico,27:47,28,https://youtube.com/watch?v=sAAo6JeklDw
3 years ago,other,NDC Oslo 2020,NDC Oslo Online - 8-12 June 2020,Unknown,0:16,0,https://youtube.com/watch?v=RvMRZknzRm8
3 years ago,talk,NDC Copenhagen 2020,"What you always wanted to know about Deep Learning, but were afraid to ask",Wei Meng Lee,58:25,58,https://youtube.com/watch?v=pkxyiF32fHE
3 years ago,talk,NDC Copenhagen 2020,Confusion In The Land Of The Serverless,Sam Newman,1:00:28,60,https://youtube.com/watch?v=9bNuC5K7qEU
3 years ago,talk,NDC DevOps 2020,Cultivating Production Excellence,Liz Fong-Jones,47:06,47,https://youtube.com/watch?v=HiDqrqa34Ls
3 years ago,talk,NDC DevOps 2020,Measuring DevSecOps: building metrics to understand effectiveness and success,Victoria Almazova,50:40,51,https://youtube.com/watch?v=MS1GXQfUZlA
3 years ago,talk,NDC DevOps 2020,Top Secret Cloud Native Security Lessons,Ben Hall,58:02,58,https://youtube.com/watch?v=hJ35xBi4KJc
3 years ago,talk,NDC DevOps 2020,How Effective Teams Use Git,Enrico Campidoglio,1:08:22,68,https://youtube.com/watch?v=yXixyZ5ch3c
3 years ago,talk,NDC DevOps 2020,"Octopus Runbooks, putting the Ops in DevOps",Derek Campbell,51:03,51,https://youtube.com/watch?v=Z1gWfvPXDQo
3 years ago,talk,NDC DevOps 2020,Infrastructure as code - is it really?,Shahid Iqbal,52:54,53,https://youtube.com/watch?v=mukFFVM-jgg
3 years ago,talk,NDC DevOps 2020,Microservices and Serverless,Sam Newman,1:00:05,60,https://youtube.com/watch?v=CKLIL3Kbf60
3 years ago,talk,NDC DevOps 2020,Database Deployment Cowboys to Continuous Delivery Heroes,Adam Close,48:22,48,https://youtube.com/watch?v=VXKTrx7qcVM
3 years ago,talk,NDC DevOps 2020,It's A Trap!,Sam Newman,59:02,59,https://youtube.com/watch?v=kIF2sj2IPV8
3 years ago,talk,NDC London 2020,Using Immutable Data Structures in C# and .NET,Spencer Schneidenbach,47:27,47,https://youtube.com/watch?v=g_7pYAfx0kQ
3 years ago,talk,NDC London 2020,Reducing Third-Party Security Risk in .NET Core Applications,Niels Tanis,57:34,58,https://youtube.com/watch?v=jA72XrgB_gw
3 years ago,talk,NDC London 2020,Introducing the benefits of the testing diamond,Moreton Brockley,42:26,42,https://youtube.com/watch?v=C0wN5rxKt6E
3 years ago,talk,NDC London 2020,Fighting Back Against a Distracted World,Increasing your Focus and Self-motivation -Stephen Haunts,1:00:28,60,https://youtube.com/watch?v=WdMQilEWet4
3 years ago,talk,NDC London 2020,The Rise of Klintwalker – Mastering Your Inner Developer Part 2,Lars Klint,58:14,58,https://youtube.com/watch?v=qgTmut8Y9Lo
3 years ago,talk,NDC London 2020,Modernizing Large Frontends with Web Components,Sam Julien,56:14,56,https://youtube.com/watch?v=Q_DAn3EvYvY
3 years ago,talk,NDC London 2020,"GraphQL, gRPC or REST? Resolving the API Developer's Dilemma",Rob Crowley,59:26,59,https://youtube.com/watch?v=l_P6m3JTyp0
3 years ago,talk,NDC London 2020,Lowering in C#: What's really going on in your code?,David Wengier,44:39,45,https://youtube.com/watch?v=pxDczZYe6F8
3 years ago,talk,NDC London 2020,Who’s not in the room? Build better products by engaging hard to reach users,Ariba Jahan,34:32,35,https://youtube.com/watch?v=mjB2j7Anirw
3 years ago,talk,NDC London 2020,Big Data Analytics in Near-Real-Time with Apache Kafka Streams,Allen Underwood,1:01:53,62,https://youtube.com/watch?v=ERhZjJbqUbo
