Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44439416,Chapterhouse: Dune (Dune #6),Frank Herbert,"Herbert, Frank",,"=""0593098277""","=""9780593098271""",2,3.88,Ace,Paperback,609,2019,1985,2024/11/23,2024/11/03,,,read,"The book continues where Dune 5 stopped. Much better than the previous book, but again full of endless worldbuilding that then gets brushed over within two chapters. I am glad this is the last book and I would next time stop after book #3 should I ever want to read it again.",,,1,0
204133880,Prompt Engineering for Generative AI: Future-Proof Inputs for Reliable AI Outputs,James  Phoenix,"Phoenix, James",,"=""109815343X""","=""9781098153434""",4,3.58,O'Reilly Media,Paperback,422,2024,,2024/11/17,2024/11/13,,,read,A good book on prompt engineering that also shows how to use the output with your own code. ,,,1,0
221244015,Prompt Engineering for LLMs: The Art and Science of Building Large Language Model–Based Applications,John Berryman,"Berryman, John",Albert Ziegler,"=""1098156110""","=""9781098156114""",1,3.92,O'Reilly Media,Kindle Edition,467,2024,,2024/11/17,2024/11/13,,,read,"The book about prompt engineering that has contains nothing about prompt engineering. Instead, the second part of the title is the clue, it is about building LLM based applications. Unfortunately, it does this in such an abstract an general way, that it also lacks practicality. <br/><br/>Instead, read [b:Prompt Engineering for Generative AI: Future-Proof Inputs for Reliable AI Outputs|204133880|Prompt Engineering for Generative AI  Future-Proof Inputs for Reliable AI Outputs|James  Phoenix|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1717411390l/204133880._SX50_.jpg|209999282]<br/>",,,1,0
213759628,Neuronale Netze selbst programmieren: Ein verständlicher Einstieg mit Python (Animals) (German Edition),Tariq Rashid,"Rashid, Tariq",Frank Langenau,"=""3960108486""","=""9783960108481""",2,2.00,O'Reilly,Kindle Edition,448,2024,,2024/11/10,2024/11/07,,,read,"Eine gute Einführung ins Thema. Das Kapitel zu den mathematischen Grundlagen füllt rund 40% des Buches und hätte ruhig kürzer ausfallen dürfen. Mit rund 35% geht es im 2. Kapitel an die Umsetzung in Python. Der Ansatz ist gut, jedoch ist die Darstellung des Codes unbrauchbar. Die digitale Version hat keinerlei Einrückungen im Code, wodurch dieser weder kompiliert noch lesbar ist. Hier hat O’Reilly komplett versagt, daher nur 2 Sterne.",,,1,0
209887284,Projektmanagement: Mit knappen Ressourcen Projekte sicher steuern (VERSUS kompakt) (German Edition),Fritz Forrer,"Forrer, Fritz",Marcel Schöni,"=""303909727X""","=""9783039097272""",3,3.00,Versus,Kindle Edition,135,2011,,2024/11/13,2024/11/12,,,read,"Ein sehr kurzes Buch zu Projektmanagement. Gut geeignet als Zusatzmaterial zu einem Kurs, weniger hilfreich (da zu kurz) wenn das Buch alleine stehen soll. Sehr ausführliches Glossar mit guten Erklärungen was die einzelnen Begriffe rund um das Projektmanagement bedeuten.",,,1,0
219199634,Writing for Developers: Blogs that get read,Piotr Sarna,"Sarna, Piotr",Cynthia Dunlop,"=""1633436284""","=""9781633436282""",5,4.35,Manning,Paperback,376,2025,,2024/11/03,2024/10/06,,,read,"A good book for everyone who wants to write. It does not matter if it is a blog, an article or a whole book. You find a lot of helpful resources and ideas that can help you to start quickly. For writers with more experience, it is a good help to keep track and to get new ideas. Definitely a must-read for technical writers. ",,,1,0
212373013,"Tools and Skills for .NET 8: Get the career you want with good practices and patterns to design, debug, and test your solutions",Mark J. Price,"Price, Mark J.",,"=""183763520X""","=""9781837635207""",2,4.40,Packt Publishing,Paperback,778,2024,,2024/09/22,2024/08/16,,,read,The author knows his way around .Net and what he writes about is sound. The problem I have with this book is the scope. It covers everything. From the start with the basics to the different things you can do with .Net up to the preparation to get a job. With this scope there is far too less pages available to cover anything in the dept it deserved. ,,,1,0
212895127,".NET in Action, Second Edition",Dustin Metzgar,"Metzgar, Dustin",,"=""1633439313""","=""9781633439313""",5,5.00,Manning,Paperback,360,2024,,2024/09/10,2024/08/16,,,read,The book is a great help to learn the important parts of .Net. It covers all the necessary steps and covers testing in a good and practical way. I especially liked the chapter on load testing.  ,,,1,0
44492287,Heretics of Dune (Dune #5),Frank Herbert,"Herbert, Frank",,"=""0593098269""","=""9780593098264""",2,3.86,Ace,Paperback,669,2019,1984,2024/11/01,2024/08/23,,,read,"The Duncan Idaho series continues. In this book we learn about the Axolotl tanks and new enemies. Otherwise, there is a lot of waiting, a bit of action, more waiting and a big build-up of an escape that then gets skipped entirely. So much preparation for something we readers then never can read. The cut from let’s capture a no-ship to now we are on Rakis is an outrage. ",true,,1,0
75348151,"Klassenkampf von oben: Angriffspunkte, Hintergründe und rhetorische Tricks",Natascha Strobl,"Strobl, Natascha",Michael Mazohl,"=""3990464647""","=""9783990464649""",5,4.26,ÖGB Verlag,Paperback,268,2022,2022,2024/11/03,2024/08/11,,,read,"Eine messerscharfe Analyse der aktuellen Politik und wie sich der Klassenkampf von oben konkret auswirkt. Pro Kapitel wird ein Themenfeld ausgiebig betrachtet und die rhetorischen Tricks gezeigt, mit denen man versucht die Bevölkerung zu täuschen. Sehr lesenswert, nicht nur für Personen aus Österreich.",,,1,0
32307358,"Origin (Robert Langdon, #5)",Dan    Brown,"Brown, Dan",,"=""""","=""""",1,3.90,Doubleday ,Kindle Edition,482,2017,2017,2018/02/07,2024/04/24,,,read,"Durchgang Nr.5 mit Robert Langdon und die 7. Ausgabe der Schnitzeljagt die man aus den bisherigen Büchern von Dan Brown kennt. Diesmal muss in Spanien ein Video mit einer weltbewegenden Ankündigung gefunden werden, während ein Geheimbund dies zu verhindern versucht.<br/><br/>Das positive vorab: Wenn man das Buch zügig liest und die bekannten Wechsel der Erzählstränge mag, bekommt man eine spannende Geschichte vorgesetzt, die sich diesmal um künstliche Intelligenz und den Ursprung des Lebens dreht. Man darf nun nicht anfangen die Geschichte zu hinterfragen oder sich zu viele Gedanken über das gelesene zu machen. Sonst wird es leider sehr schnell sehr wirr (auf einem Level wie dem Film Prometheus – Dunkle Zeichen, dem Vorgänger von Alien).<br/><br/>Diesmal darf Ambra Vidal neben Robert Langdon miträtseln, oder besser gesagt bei der kommenden Verfilmung als Empfängerin der Monologe von Robert dienen – Dan Brown ignoriert den immer wieder gepredigten Ansatz «Show don’t tell» ja auch in diesem Buch konsequent. Zur Handlung trägt Ambra nahezu nichts bei, abgesehen von der Aufforderung zum finden des Videos, dem Autopiloten im Tesla und der Banalität, dass man bei einem aufgeschlagenen Buch nicht nur eine, sondern 2 Seiten sieht. Ambra Vidal benötigt es allerdings für den ganzen Handlungsstrang mit dem spanischen Königshaus. Ohne diesen Teil wäre das Buch nach einem Drittel fertig und man würde sich viele Fragen über die einmal mehr äusserst flachen Charaktere ersparen.<br/><br/>Beim vorgehenden Teil Inferno bleibt am Ende des Buches das etische Dilemma: Wenn Überbevölkerung ein solch grosses Problem ist und man einen Virus hat mit dem man dies lösen könnte, wäre man bereit diesen Virus zu nutzen um die Menschheit zu retten? <br/><br/>Bei Origin stellt sich eine ganz andere Frage: War Dan Brown gleich erleichtert als er das Manuskript fertig hatte wie ich als Leser am Ende des Buches? An Fantasielosigkeit ist dieses Buch ja schwer zu unterbieten. Man nehme 2001 A Space Odyssey (Ursprung des Lebens und Computer tötet Mensch), Siri als zeitgemässer Ersatz von HAL sowie dessen «Vater» Steve Jobs (stirbt vorzeitig an Pankreas-Krebs) und füge noch die eine oder andere Verschwörungstheorie und Social Media hinzu und fertig sind alle Teile von Origin. <br/>Da zudem am Ende eine spektakuläre Überraschung ausbleibt, ist dies aus meiner Sicht das bislang schlechteste Buch von Dan Brown.",true,,1,0
28944800,"Langlebige Software-Architekturen: Technische Schulden analysieren, begrenzen und abbauen (German Edition)",Carola Lilienthal,"Lilienthal, Carola",,"=""""","=""""",4,3.87,dpunkt.verlag,Kindle Edition,288,2016,2015,2017/04/18,2017/02/22,,,read,"Carola Lilienthal beschreibt in ihrem Buch einige interessante Ansätze zur Beurteilung von Software Architekturen. Die Untersuchung auf Zyklen mittels Sotograph ist leicht umzusetzen und lässt einen Zyklen finden, die mit traditionelleren Werkzeugen (wie den Qualitätsmetriken von Visual Studio) unentdeckt bleiben. Der Vergleich zwischen der Ist- und der Soll-Architektur lässt sich ebenfalls mit diesem Werkzeug überprüfen. Ich teile ihre Erklärungen zur Notwendigkeit und sehe den Nutzen, bin jedoch skeptisch, ob mit einer langlebigen Architektur auch eine langlebige Software einhergeht. Mir fehlen da noch einige Teile des Puzzles.<br/><br/>Der Wechsel zwischen den grundsätzlichen Aspekten («man sollte») zu den eigenen Erfahrungen («ich») fallen beim Lesen sehr deutlich auf. Diese Trennung ist zwar korrekt und hilfreich, hätte für den Lesefluss aber auch ein wenig milder ausfallen können.<br/><br/>Einige Beispiele im Buch setzen die Darstellung von Farbe voraus, die auf einem Kindle mit einem Schwarz/Weiss Display nicht gegeben ist. <br/>",,,1,0
32618000,TDD,Jason Gorman,"Gorman, Jason",,"=""""","=""""",0,4.38,Codemanship,ebook,200,2016,,,2024/10/24,to-read,to-read (#130),to-read,,,,0,0
56799802,The Pragmatic Programmer,Andy   Hunt,"Hunt, Andy",Dave         Thomas,"=""""","=""""",0,4.33,David Thomas,Audiobook,,2019,1999,,2021/03/24,to-read,to-read (#101),to-read,,,,0,0
59356606,Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,Neal Ford,"Ford, Neal","Mark Richards, Pramod J. Sadalage, Zhamak Dehghani","=""1492086851""","=""9781492086857""",2,4.28,O'Reilly Media,Kindle Edition,771,2021,2021,2023/05/21,2023/05/20,,,read,The book hides a lot of good points behind a format that absolutely does not work for me. Skip the annoying storytelling and present your points straight away. ,,,1,0
59694556,"Natural Language Processing in Action, Second Edition",Hobson Lane,"Lane, Hobson",Maria Dyshel,"=""1617299448""","=""9781617299445""",0,4.33,Manning,Paperback,688,2025,,,2024/09/25,currently-reading,currently-reading (#2),currently-reading,,,,1,0
38918381,Domain Modeling Made Functional: Tackle Software Complexity with Domain-Driven Design and F#,Scott Wlaschin,"Wlaschin, Scott",,"=""1680505475""","=""9781680505474""",0,4.50,Pragmatic Bookshelf,Kindle Edition,421,2018,,,2023/10/31,to-read,to-read (#122),to-read,,,,0,0
44439415,God Emperor of Dune (Dune #4),Frank Herbert,"Herbert, Frank",,"=""0593098250""","=""9780593098257""",3,3.88,Ace,Paperback,587,2019,1981,2024/08/18,2024/07/11,,,read,"In this book we follow Letho II as he rules the Galaxy for the last part of his 3500-year long reign. No longer human, not fully a worm yet, is he waiting on something exciting. As a reader, I was waiting too. An endless build-up of the story, followed by a bit of action made it a rather boring book.",,,1,0
215144449,Software Testing with Generative AI,Mark Winteringham,"Winteringham, Mark",,"=""1633437361""","=""9781633437364""",4,3.64,Manning,Paperback,304,2024,,2024/09/18,2024/08/31,,,read,"The book explains in great details how you must formulate the prompts to get what you want from the AI tool. While there is much more to the book than the prompts, it was the part I found the most helpful one. <br/><br/>However, please do not let the AI generate code comments that explains what it does – that is the job of the code. If you do not understand what is going on, let the AI explain it without creating that kind of duplication in the code itself.",,,1,0
123260251,"Architecture Modernization - Socio-technical alignment of software, strategy, and structure",Nick Tune,"Tune, Nick",,"=""1633438155""","=""9781633438156""",2,4.05,Manning,Paperback,458,2023,2023,2024/09/18,2024/05/18,,,read,"The book tries to cover too many topics, and we end up as usual with lots of chapters that are too shallow for people new to the topic and boring for those who already now the concepts. The many, many quotes and case studies made it hard to follow. Even worse, they did not add value to the book. ",,,1,0
94157528,"Teuer! Die Wahrheit über Inflation, ihre Profiteure und das Versagen der Politik",Maurice Höfgen,"Höfgen, Maurice",,"=""3423441712""","=""9783423441711""",4,4.20,dtv,Kindle Edition,229,2023,2023,2024/09/05,2024/08/24,,,read,"Ein sehr gutes Buch über die Ursache und die Auswirkungen von Inflation. Es zeigt schön und nachvollziehbar auf, wieso die gängigen Theorien nicht funktionieren und dass man zur Bekämpfung der Inflation wissen muss, woher die genau kommt.",,,1,0
62683567,Die Altenrepublik. Wie der demographische Wandel unsere Zukunft gefährdet,Stefan  Schulz,"Schulz, Stefan",,"=""3455014682""","=""9783455014686""",1,4.15,Hoffmann und Campe,Hardcover,224,2022,2022,2024/09/18,2024/09/18,,,read,"Einige gute Punkte vermögen dieses Buch leider nicht zu retten. Zu unstrukturiert, zu gross ist das Durcheinander, dass der Autor da anzettelt. Ein roter Faden oder schon nur eine nachvollziehbare Abfolge von Themen sind für mich nicht erkennbar. Da wird auf 7 Seiten munter von Bitcoins zu Walverhalten bei der Bundestagswahl 2021 zu Brexit zur Stimmungslage hin und her gehüpft – wie ein Eichhörnchen auf Speed das Futter sucht. ",,,1,0
211147750,A Damn Fine Stable Diffusion Book,Will Kurt,"Kurt, Will",,"=""1633436802""","=""9781633436800""",0,0.0,Manning,Paperback,275,2025,,,2024/09/13,currently-reading,currently-reading (#1),currently-reading,,,,1,0
43485305,Modeling and Simulation in Python,Allen B. Downey,"Downey, Allen B.",,"=""""","=""""",3,3.67,,ebook,255,2018,,2024/05/17,2023/10/01,,,read,You can get the book for free directly from the GitHub Account of the author at https://allendowney.github.io/ModSimPy/ . The interactive notebooks are a great help to follow along and experiment with the concepts yourself. <br/><br/>I found the book itself too shallow and the explanations of the concept not good enough to understand them. With the notebooks a lot of that could be mitigated.<br/>,,,1,0
58258535,Radikalisierter Konservatismus. Eine Analyse,Natascha Strobl,"Strobl, Natascha",,"=""3518127829""","=""9783518127827""",5,4.29,Suhrkamp Verlag,Paperback,200,2021,2021,2024/08/03,2024/07/28,,,read,Eine sehr gute analyse der politischen Lage durch Natascha Strobl. Das Buch erläutert die Zusammenhänge zwischen den konservativen Parteien und den neuen Rechten und wie sich die gegenseitig helfen. ,,,1,0
43444626,Hands-On Image Processing with Python: Expert techniques for advanced image analysis and effective interpretation of image data,Sandipan Dey,"Dey, Sandipan",,"=""178934185X""","=""9781789341850""",1,4.12,Packt Publishing,Kindle Edition,796,2018,,2024/06/11,2024/04/25,,,read,"I hoped for a more structured explanation in this book than in the [b:Python Image Processing Cookbook: Over 60 recipes to help you perform complex image processing and computer vision tasks with ease|72427694|Python Image Processing Cookbook  Over 60 recipes to help you perform complex image processing and computer vision tasks with ease|Sandipan Dey|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677893320l/72427694._SX50_.jpg|81316989] by the same author. Unfortunately, that is not the case. The same problem with the image quality and the lack of explanation continues. We get another collection of loosely related topics about image processing, once more without any structure, guidance or explanation about the pros and cons of the used algorithms. ",,,1,0
44492286,Children of Dune (Dune #3),Frank Herbert,"Herbert, Frank",,"=""0593098242""","=""9780593098240""",4,3.96,Ace,Paperback,609,2019,1976,2024/08/11,2024/06/09,,,read,This part of the series is all about the children of Paul Muad'Dib and the world in which they grow up. The adventures and different story lines makes it a much more interesting book than part 2.,,,1,0
